agg_MAE,agg_RMSE,agg_NDE,agg_EACC,GHOST_MAE,GHOST_RMSE,OVE_MAE,OVE_RMSE,FRE_MAE,FRE_RMSE,DWE_MAE,DWE_RMSE,SO1_MAE,SO1_RMSE,SO2_MAE,SO2_RMSE,LI1_MAE,LI1_RMSE,WAD_MAE,WAD_RMSE,MIC_MAE,MIC_RMSE,BAT_MAE,BAT_RMSE,ESH_MAE,ESH_RMSE,EST_MAE,EST_RMSE,SO3_MAE,SO3_RMSE,SO4_MAE,SO4_RMSE,LI2_MAE,LI2_RMSE,LI3_MAE,LI3_RMSE,fold,epsilon
321.16653928459596,837.0592311507125,91.4611236778451,-7.549669828408776,1951.9519349716677,2151.8822806123567,1132.420546229805,1682.3344801560327,82.45584827302027,108.8559933974506,14.765368459427828,114.94673851604752,1.818033826303397,2.5005451136381516,17.660996718816723,24.62938378690542,45.18778987747178,59.999268177658,1667.0160571908623,1893.633706476142,143.9297382979208,335.7603760269016,8.326602945140024,105.51777689383213,0.8853567295955818,1.9982198528042203,0.6793776847845354,1.3668279906812284,4.530234438157036,59.97481729932326,4.234617274557592,66.86698178054091,33.90149634631555,40.11829993803799,28.900629289711276,34.16931934244844,1,0.01
318.66655655159406,834.5825687647853,90.92070023106292,-7.483118602395317,1938.0937728965746,2140.7747643781845,1125.684725062212,1689.398663284933,81.61748220711074,108.94534521741235,14.757809057332317,114.94646578794685,1.8108722874760577,2.4914298235477936,17.78954459714348,24.664686021058696,44.894769128347086,59.714329121623805,1650.8655166674416,1882.285715719513,141.8153898584634,336.2859165557279,8.315546784599796,105.43991479917794,0.8752611473044842,2.034572215154573,0.6706849271641222,1.3596180515535388,4.517498058237279,59.86910380537514,4.459319669662801,68.00545084979983,33.77783854042805,40.25753990999571,28.718873935993454,34.07989666593945,1,0.1
316.976303974239,831.1947921607187,90.18405925636937,-7.4381229391011505,1937.866255665404,2141.4518570523865,1103.4962789481278,1662.3948702544978,80.89928669931972,107.29289211908909,14.747883082091489,114.9419664134656,1.815692614960327,2.494815056430516,17.96660484727397,24.699585440372168,45.01877407389834,60.03016922565395,1649.69229159729,1882.3747027034547,137.85848431532315,332.34273949776986,8.285196633221474,105.49848190068414,0.8591579881750323,1.905709978010104,0.666492304278255,1.3670872560437641,4.455620016802404,59.68303455932021,4.306269120421386,67.2245886716165,34.419807567327645,40.599987339915266,29.266768113874427,34.484883830319355,1,1.0
193.6236296363686,532.3749114437912,36.99638702741042,-4.15439157533823,923.616724775521,1261.7034902116625,515.6692266235476,1044.0751867650029,96.26517666080292,122.72959736017184,16.139694390281463,116.09164676899866,1.739298112130901,2.367708994730156,24.783990362515436,29.890856760085985,52.448531393154816,68.53731538174704,745.8000578566067,1122.4107730468118,481.35560258057086,670.5365434979104,54.26063055780112,207.97595021957068,2.657783695531662,3.726919751786061,2.2644807963607176,3.1295568115643455,56.676545088526076,170.70188045155223,46.66083345221656,180.3891245598142,46.248727947120685,54.30379220136216,31.39076988920106,36.23039337261025,1,10.0
25.12274794100836,107.54858969594261,1.5098492650955802,0.33121551031932217,57.666514332117245,173.8397441052455,15.020911598268297,211.50180518839989,113.41791652796876,182.307852932983,55.34268074246464,128.022145235574,1.8662814842995137,2.6229399259117,13.903701237972376,21.641342349325754,42.65952890452879,53.252458754930394,7.8229516382145725,93.85774242770961,25.61570846608887,155.39822986828028,9.938751248277747,109.16945445093197,0.14637246976397666,0.8644301743740469,0.14211802748585387,0.7269348516812354,6.461606987176975,69.96230621408665,4.362098372089542,72.67682478167117,27.093502623363598,36.22846744653711,20.503322396055825,28.47390366145744,1,100.0
13.10699776759669,89.4423932983939,1.0442656088072546,0.6510828817838268,25.78036981676067,140.74404377049058,14.811153644966184,211.23025841480364,35.49528428994867,75.36365125416364,11.80924913215093,74.84258110327956,1.6512197441628358,2.2207643848822394,13.884497598554171,22.175174955223873,31.00163900645167,46.12344483350299,6.797900518332029,111.31768584598768,15.165002298412611,119.48995537797795,10.347350484252527,108.4320232281357,0.10381695119438218,0.7626507759687788,0.09679648739042913,0.6372933702637269,6.31281088021329,70.91637948083542,3.6962226766211423,69.14699119011337,18.120432101700377,29.415211976662263,14.638218650434569,23.73106263881763,1,1000.0
10.456822509112072,85.37551378267776,0.9514606087740207,0.721632334095804,21.519608415642573,131.48279290509257,15.075681202149156,210.84853481417326,25.843040563031007,64.17137401085473,12.116768906430877,72.46705321218916,1.6272702775532621,2.1898965163603688,7.825068556121359,16.012696511177033,21.464347646900343,39.69096638960706,6.207837589361024,99.7537616867003,13.978738884397702,112.69566241501289,9.340211137001571,103.98606114902994,0.09527477927306716,0.711725266925653,0.09039580262177613,0.6027076912113601,5.723901913230976,67.08116710461445,3.615691029847669,68.81833620793606,12.507928733336234,24.121082953243068,10.277394708894008,19.749460758393354,1,10000.0
10.105843116022008,84.58401152260636,0.9339007175584589,0.7309756421943986,21.312229057772445,131.61959312638487,15.026110767669865,210.84858131084692,24.672820073865548,63.17578718328936,11.939279090779403,70.50465349724674,1.52447730911282,2.105017855941629,7.4134528508254,15.381387917779723,19.97156783489353,38.09205762895068,6.241267614564339,99.77133843385079,13.549132150839267,110.14276391573904,8.588577678444459,98.0126914741961,0.0936595495109928,0.7060593239921539,0.08900090351419453,0.5999636293691483,6.1337359519393875,68.46472444244822,3.6160540206381837,68.81837227613757,11.72201404409749,23.42476870345212,9.800110957883902,19.26468328702401,1,100000.0
315.0830317337789,819.9678312350208,20.226591013063263,-4.461853809187793,1948.892295842613,2149.7643946146495,975.098288870927,1525.6517356041072,84.68999001379069,109.79057758474916,39.72031955870521,191.99937194075915,1.8495030671929438,2.5308981390463425,18.78715107708402,25.170324982424145,45.800702204890655,66.69298674211744,1673.8543352830138,1895.3186235830042,164.10248704171508,371.70151067215403,6.384676716280752,87.51720668933437,0.9501656442689297,1.9671833186518655,0.7601439282260775,1.5472285990622756,6.9187724887849384,77.4419849989124,7.045487976920574,85.60232966999152,36.51411859812661,42.968188932549346,29.960069427932954,34.90836928739542,2,0.01
316.60109690980045,824.4657725541273,20.449105961532545,-4.488168936405605,1947.2914421668052,2149.6160093098297,1009.1617330036385,1565.1142744228011,84.25003566503372,109.21806450663209,39.726745605276285,191.98935375136207,1.8402143072265587,2.5164963164058824,18.61964113050215,25.177749286425755,44.2584526130565,65.24107022433759,1672.453127427218,1896.1042516418543,158.94944917337912,364.12564731629453,6.350195761408898,87.54598966215222,0.9396436666824263,1.9473221626854502,0.7515003090969415,1.53617960419725,7.069174314834831,77.88045383795642,6.801488420752197,84.63182980913469,36.84018260497442,43.079325840437726,30.31452438695792,35.08736720081122,2,0.1
314.14058386031644,821.7260522183022,20.31342599188989,-4.445516805956273,1932.109649752448,2141.1838662429504,998.1827753737036,1557.952170472338,84.9710796202067,109.92746259783088,39.72649040214381,191.98172836779958,1.8425681994706242,2.5179837264559994,18.633767654191608,25.125097913703616,44.4545817680333,65.19281783514329,1659.7194556723325,1891.9413040039462,158.16410195445903,366.87149085600873,6.361681487469668,87.54866075056172,0.9361088655347993,1.9590372286998958,0.7452391142390412,1.5369818329603293,6.685683262795468,76.76974805687296,7.042704519155959,85.69977146727926,36.72684863759593,43.2037385520081,29.946605481319608,34.85761919066915,2,1.0
283.11073917349034,735.8565219865794,16.289784938720675,-3.9076253350361734,1581.350970656508,1846.1621160762613,909.8594480637895,1459.8694389170983,87.18845086943412,113.60071450401006,40.017311014948405,192.0174946200449,1.8290456036901572,2.496727295006858,21.229779510834014,27.57908189047691,49.088409656504375,69.56119738171348,1361.0217517079564,1654.6383247238623,296.1693740390055,503.8115751314996,34.0972117868993,166.70636720561475,1.7231727614248136,2.8210597499463748,1.4635424096882306,2.349233149722613,38.11690998145389,144.6042230081355,34.54013188136924,158.17919756791665,39.52133720100846,45.60298151559337,32.554979631302764,37.05545467103881,2,10.0
35.38461606651227,155.32327168881199,0.7257751989603091,0.38662009507124995,118.87923550983619,318.6271803616342,28.664756605957255,262.630822555285,109.93728184887752,160.98871588765525,59.5019988270147,198.08649849973253,1.8481034127475244,2.542483774565779,13.741797834735884,21.867068071007804,43.58225624930652,60.410250607238204,74.11376908079123,268.839662174133,42.66192400970178,218.93133019165617,10.488568167767902,101.1949597700468,0.2524751533596424,1.4088833385669328,0.23219363735793386,1.07369021084513,9.497191180434154,83.86556171777018,5.533938846355087,80.84873539397505,28.70372342954923,39.06840310001795,18.514643270404033,25.916641532938502,2,100.0
21.846664229144025,137.0768936048507,0.5652721276499723,0.6212957404230639,60.39322522206063,272.31231888546574,29.075205668363367,271.52553911081463,43.17770063562947,86.24825158276484,23.727636438568744,112.53827121375912,1.6216700746588257,2.149635734222202,17.902796138665536,25.555886221120396,37.79637643254556,57.482221217277655,36.28078843501924,243.7819150830595,34.885646805208296,205.72330993358116,10.898257961227921,105.09741052073385,0.2122973037234283,1.3478433607940397,0.18828284749631335,0.9955682439238199,10.953565710844082,87.34430294266758,4.940580468242244,80.4418705047609,19.11048551999589,31.204088464083735,18.382112004057145,28.669365686890174,2,1000.0
18.650394301163807,136.13757948731876,0.5575516598647358,0.6767019582230801,56.07459467783069,277.35925668427814,26.94813907778176,269.5656459219085,32.01830171033618,72.4628121178185,21.656173221107043,104.00889773799213,1.614345269231398,2.1292066374574503,9.398032875236186,17.744488658476183,26.122949260545145,49.92590844340171,37.51222597365602,245.9703603644228,35.844509962434735,207.32877788622707,9.985751422638753,97.86931027623451,0.21268407120325697,1.3457939316047418,0.18731751390936288,0.9898648129525731,10.137603626737842,86.49385651905482,4.814865186171459,79.40056335980387,14.774094504414524,27.8038043340438,11.104720465389311,20.83328945737049,2,10000.0
18.42720767580447,137.2365782717259,0.5665898970462641,0.6805708200693398,55.81163568240067,279.86345323907676,26.93342526986566,272.44548341431806,30.236126301773755,71.55459649424462,21.834601423430932,104.42702990557373,1.4888439773645943,2.0228929373322253,9.082245153518508,17.523600852273272,25.629831819551335,49.66507407103606,37.60537273923391,249.37032047807506,35.519021351468645,207.05206896161317,9.986426680615804,98.85599728390544,0.21474471761218453,1.3579287520965124,0.1887266790305453,0.9995444405393162,10.45336281642828,86.06979114165821,5.248474329101083,81.11950339537033,14.119346299554584,27.533066871925957,10.483137571924738,20.277767026513917,2,100000.0
240.96478003702293,656.987478411335,13.827021387867124,-3.4311597570319137,1604.8300410723416,1845.9396872612356,358.8574191196268,814.6575778504684,111.06024854565985,134.69832106381165,45.27968836685665,192.77589242003134,1.770878310904009,2.427542834522276,22.435473235372932,28.263872327345563,53.84364766116595,71.67103328667015,1307.12068334206,1593.6751522878417,242.97432751595488,443.2547533007231,9.158737933330128,105.32593134096527,1.2038597492350325,3.260560370513105,1.0039992391459476,1.8868632798407488,19.912780763073894,107.9185517025496,17.981195808961154,110.02750228515181,34.108741896111546,41.33668775572393,23.894758032558194,29.471921282224272,3,0.01
241.0505507641359,656.0576516127257,13.787910636264773,-3.4327370157261345,1609.7987855962883,1847.5605339712715,346.38726679030117,790.2709085986043,112.91335774406777,136.96989316628557,46.57159636692064,195.3053045302462,1.7671834133815547,2.420776743844337,22.23999714679717,28.079478868653368,52.84096089527148,70.13303779696989,1319.05768621111,1598.6225115906614,238.61868055224113,438.6952148111886,9.117407706817515,105.30477799658604,1.18317402951465,3.1587020549075926,0.9856864330210701,1.8642300319990848,19.948767574936674,108.78357623141542,18.17800656236535,111.52973843586935,33.61072804222713,41.013399641181586,23.589527160904506,29.249670523905788,3,0.1
242.27567403732357,659.4852003822922,13.932355828766593,-3.455266104602602,1613.7949009761385,1852.5856899401872,353.78969518284316,810.2020253205075,113.49722605291205,137.31212157924605,46.09620048504369,194.43672110217673,1.7696466783965161,2.432577073665121,22.082887124130277,27.98321409347733,53.2348677223514,71.21669200314041,1322.002020226033,1604.217196134099,242.95342780602752,442.49696110117947,9.150189420958398,105.35498235502236,1.2065274937782762,3.2097039751277414,1.0101336249940678,1.8936400618264153,20.145072677414273,109.64302331955554,18.030297842660364,112.6759874678972,33.990891942872274,41.31089249061985,23.656799340592972,29.25005833186075,3,1.0
216.22638873492917,589.0343687406123,11.114648199983566,-2.9762394820659885,1323.7543705981802,1604.046977507984,340.7894376020414,782.2901765336027,107.26644792112447,132.39630376745933,46.53937578264773,194.16810717292984,1.7984228129408721,2.445214969936296,23.54666730071178,29.47691762693549,54.97256645584673,73.83745329463225,1070.192442975574,1397.4883915679945,335.8506728802906,536.61811947474,25.646537321477,150.99463227148678,1.7547561304231725,3.660684290649137,1.4696847210994421,2.3721807995019524,34.20222708323455,136.36484402798945,29.42632079509309,140.32830497138914,36.527886886363326,43.413986817969864,25.884402491797033,30.966216438513623,3,10.0
39.578195830320645,158.86807608857387,0.8085143311320355,0.27218696196058456,125.62910893780061,307.82157396180986,23.151302962575386,242.03961534906225,105.63514036172246,157.1769198794717,54.711471460046184,195.17480761029475,1.837676541918342,2.5527522568051704,13.202119295575804,21.45427970936944,45.06653034698227,61.09576593316391,83.70546705343445,263.06992348644,79.71203893036316,261.0309221799733,31.74342733051412,170.65202301262894,0.5795805792001606,1.9234705572969009,0.5117853123464492,1.6392380578249974,17.056312711017338,104.92381994889256,4.764523594401457,62.88685814596118,25.750171984719614,35.3608470138203,20.194475882511448,28.370524557275772,3,100.0
19.95496020270238,122.26259411970047,0.47885239328294543,0.6330433991647975,55.93135176702259,248.9023985206365,22.608972529998457,245.54158912561425,44.03843581086479,86.70481975747003,20.231123686337796,100.35086719521871,1.6017452089970936,2.115927522535306,19.589200627704678,27.45066546951524,41.799308890896896,58.98557297689973,33.823845641732945,232.69118572500585,18.287365067287464,137.34392995449986,8.192567406914494,96.98129848059236,0.11409482143706383,0.8550569369408871,0.10783204146654642,0.6712540506528082,10.0906890484572,89.08920969731028,2.602475945915962,52.4208665724566,23.132832437744607,35.470746470186114,17.127522310459952,27.27183665113051,3,1000.0
14.943218137068095,117.35819808028944,0.44120590398493614,0.7252055390030366,45.114318192519185,245.29483697766878,21.59201182494021,235.34510116092306,26.110014741548166,65.61229959434057,19.719053053719346,98.84876220069619,1.6076132959246885,2.107836892639016,7.541526780477864,16.2351770108077,24.653651306924967,47.88553958479264,32.560196236942886,228.88633853180124,16.486856246135865,125.8568160238467,7.529189848938933,94.27946549086673,0.10550034079921462,0.8167908055167195,0.10092887599664002,0.65094662885988,8.412638102937484,83.20383319508139,3.1892370852949217,55.15185018329027,13.463513877661033,25.290891769424025,10.90524038232908,21.22112342787223,3,10000.0
14.436499037023744,117.21723378280875,0.4401466353676689,0.7345237193773261,44.24193234706746,243.10681238355392,21.35944806378496,236.28019768395333,23.72902816745166,62.99255321237546,18.960587759760333,97.31238970936919,1.468725727962954,1.9892753679161248,6.830662418564712,15.737720535038623,23.335679300013673,47.63498533313213,32.31260719324127,227.08597579056868,16.916554916226385,129.00270704393577,7.971439440772418,99.37841949158866,0.10371550398655902,0.8068900396786707,0.0977681614278688,0.6426810034886715,7.965114841409728,81.86777188672608,3.3249037044082037,55.96643109473879,12.036693772092404,24.20716310418286,10.329123274208643,21.045261178100862,3,100000.0
281.46335675605513,755.8706140572624,35.925079476731696,-5.839960864887596,1898.607897074021,2106.3760593317174,594.216031036501,1093.366853646574,102.05157005405245,127.97053554251542,12.050282942601752,90.68697596107873,1.6730832025615567,2.209883982370467,19.83423050707751,24.46233141095902,51.02226607700478,61.37587605942235,1599.555392553138,1832.8194611241297,136.8814494270028,315.7203300056365,7.732068413460378,102.01729413025507,0.7520677794157243,1.7698627721374722,0.5912485932126085,1.2667757218919002,5.773940748490188,74.67493072470634,2.2644443387702906,42.93825981823363,42.771246057032904,48.9334247655222,27.636489292564125,32.723407178303404,4,0.01
