agg_MAE,agg_RMSE,agg_NDE,agg_EACC,GHOST_MAE,GHOST_RMSE,SO1_MAE,SO1_RMSE,LI1_MAE,LI1_RMSE,EST_MAE,EST_RMSE,MIC_MAE,MIC_RMSE,WAD_MAE,WAD_RMSE,SO2_MAE,SO2_RMSE,FRE_MAE,FRE_RMSE,DWE_MAE,DWE_RMSE,WDU_MAE,WDU_RMSE,fold,epsilon
101.52141114208702,286.0435230166478,10.03613945257595,-0.9543126803740707,142.63883421518636,251.90747835014903,24.992756246229643,87.43474557690077,55.00070107553644,72.50819437560362,0.7451621627244326,1.3199766831432278,577.704949135621,807.6687225420828,1.0745241215752657,1.3688789697377166,96.59154132600855,240.8782841874758,81.97820216771711,99.84156772178017,31.37320310387088,144.47231380078225,3.114237866400321,25.573473157750694,1,0.01
102.68194689215613,288.31129886846406,10.19590489575893,-0.9766532852462111,142.5538237032289,252.35249465377967,23.759366743639482,84.54501104807261,55.598423100127135,73.15833715613022,0.7450290207826421,1.3575100609711441,588.0786452807472,815.9364099491294,1.0725790010194032,1.3691645248013145,96.59719777819133,239.56056774689173,83.30498866213243,101.06752477803438,31.996619442883766,144.88352772506894,3.1127961888118563,26.479775111365733,1,0.1
102.21217053006217,287.86100423566705,10.164081127829867,-0.9676099722046372,142.80330050751192,252.06057880240726,23.371020824231852,84.34816490236155,56.05977033015,73.72528466783564,0.7329068630510469,1.3071219881817082,588.9538538351139,816.2923996431905,1.088331357007663,1.3791452098216552,91.64995735297032,233.21466389705304,82.64936237491881,100.68768498325359,32.01626620066978,145.35370302016304,2.796935654995893,23.734595373948373,1,1.0
64.42459155228053,188.72247301683845,4.368674507531453,-0.24018957953930764,136.63306524508022,231.42003953444217,24.63116769643679,85.72379115780764,39.92222430256479,62.76712720902097,0.7653082027918438,2.4272941701034227,194.4951423994721,417.0795627687872,0.9793609186794032,1.2426813215240484,136.59864777715535,299.34828119407297,82.98227963968468,101.17767889336855,25.223930183692588,130.7371605334245,2.0147891572531083,20.417734731323026,1,10.0
22.090966894912913,66.67366435126327,0.5452693663044325,0.5747433350386683,76.97340025204826,125.55952130299391,12.77501508248534,54.66102931286352,34.601156670618764,57.77600483439931,2.6670952172916955,21.599115126670668,12.174773762716624,56.341618378790855,0.9162786827269147,1.1829955737002809,8.487732218269572,76.1720063303555,60.01476627348221,86.48610294905143,12.178967733883958,73.66258446906265,0.12048305560756095,3.4915345555701913,1,100.0
12.156210834360316,56.094869888333626,0.38596572585236283,0.765989886156712,34.95768553472403,94.69854405826631,7.971020824231894,45.63701831434061,21.322885851588318,43.45995678944877,1.4967754685972539,15.022711164844072,8.564600886225849,52.97381174803091,0.9458778006614634,1.2197723380953795,9.393357465310308,79.19650506817375,27.344149035760157,62.768240243454834,9.486660841708034,72.60425818456326,0.07909463479581186,3.211481768661276,1,1000.0
11.247775771686412,56.79772606889196,0.3956984491931134,0.7834774894347561,32.94465946227173,92.93328938797717,7.769408558530464,46.54626129073114,19.192090536520347,41.777629981883074,1.4386028417483538,14.758034625646141,8.365853252615894,55.86865306831036,0.955971624123542,1.2205895756228151,9.348482389897951,82.58730806382923,23.13119266055078,58.169238587133776,9.251457280161622,78.46032713887197,0.08003911044540057,3.2176476008521164,1,10000.0
11.139187364075683,56.88138031262295,0.39686491249208916,0.7855678435733355,32.777906218925736,92.59230919158074,7.785820383199118,47.169581544899664,18.529986061702804,41.30675406571869,1.5101895192327797,15.288771369478024,8.448625933553517,57.491488871445775,0.9523123010671314,1.217205249387905,9.750689633651675,84.2274220412441,22.651717323015284,58.19683206874146,8.905966423267621,76.27836406704148,0.07865984314214922,3.216063453504914,1,100000.0
102.52170579501463,283.37727582900993,10.803812904970544,-1.2789000392315883,149.68483760023202,253.2205682414501,22.641036842871735,75.59490570256597,54.72976970604809,73.24281549310983,3.0093032931829042,30.398489248049128,572.0198922382418,793.8239733756972,1.0139570201169161,1.3480754475404602,102.812172085958,252.46751741077367,83.16900289167666,101.64909663610572,33.479600158107026,148.6989623459977,2.657486113711513,23.683218393380997,2,0.01
101.88726046297941,285.0755291640332,10.933693390246331,-1.2647972940533512,150.06567708813438,253.75892915770342,20.83620212611031,71.7120177731971,54.067097297635,72.97027446692468,3.0035053776864093,30.400626084356798,573.2897314277382,801.3978134488668,1.0237450331814644,1.3652999845426943,103.90078220890612,255.68108709144738,82.55662693211754,100.63963255832574,27.439771994422713,136.20334480044443,2.689465143855679,24.549584963505392,2,0.1
103.34066545250805,287.5902697376712,11.12744327294828,-1.2971042544377074,150.2864710388431,253.2942814682366,21.56072520751424,73.01592346586274,54.963128003494916,73.32549713313446,3.0008009319937132,30.400685071753973,585.3606232707133,810.9199633437174,1.0397220661965134,1.3760018323131054,99.61789094842634,249.7646681750813,84.34816825812874,102.4620596821214,30.18375460275758,142.00014064161127,3.0453701970084106,25.56366123271822,2,1.0
72.43621721274792,209.60235215494257,5.9107054375512265,-0.6101458414862453,139.95219896390304,230.14210161088963,22.230429174728148,77.7044982840903,38.05476502527618,60.16402760457457,3.0250951756851303,30.41319866995516,273.0613534710503,509.24690682999034,0.6760157273918882,1.0023622130605399,135.73979903888193,295.8210750377231,82.70567725561163,102.05881707502854,26.8076202958227,134.60950225982288,2.1092179991262507,20.103877900745807,2,10.0
